Initial State,Search Algorithm,Heuristic,Found Solution,Time,Max Frontier Size
"[[3, 4, 7], [5, 2, 8], [6, 1, 0]]",A*,heuristic_manhattan,True,0.1043388843536377,2656
"[[3, 4, 7], [5, 2, 8], [6, 1, 0]]",A*,heuristic_misplaced_tiles,True,1.848802089691162,30274
"[[3, 4, 7], [5, 2, 8], [6, 1, 0]]",A*,heuristic_euclidean,True,0.3359968662261963,6903
"[[3, 4, 7], [5, 2, 8], [6, 1, 0]]",Greedy,heuristic_manhattan,True,0.0022530555725097656,90
"[[3, 4, 7], [5, 2, 8], [6, 1, 0]]",Greedy,heuristic_misplaced_tiles,True,0.0056798458099365234,237
"[[3, 4, 7], [5, 2, 8], [6, 1, 0]]",Greedy,heuristic_euclidean,True,0.008238077163696289,255
"[[2, 3, 4], [5, 0, 1], [6, 7, 8]]",A*,heuristic_manhattan,True,0.009440183639526367,283
"[[2, 3, 4], [5, 0, 1], [6, 7, 8]]",A*,heuristic_misplaced_tiles,True,0.06493210792541504,1951
"[[2, 3, 4], [5, 0, 1], [6, 7, 8]]",A*,heuristic_euclidean,True,0.016623973846435547,398
"[[2, 3, 4], [5, 0, 1], [6, 7, 8]]",Greedy,heuristic_manhattan,True,0.004435300827026367,173
"[[2, 3, 4], [5, 0, 1], [6, 7, 8]]",Greedy,heuristic_misplaced_tiles,True,0.009252786636352539,385
"[[2, 3, 4], [5, 0, 1], [6, 7, 8]]",Greedy,heuristic_euclidean,True,0.011142969131469727,338
"[[1, 6, 3], [8, 2, 4], [7, 5, 0]]",A*,heuristic_manhattan,True,0.061946868896484375,1744
"[[1, 6, 3], [8, 2, 4], [7, 5, 0]]",A*,heuristic_misplaced_tiles,True,0.42627501487731934,11176
"[[1, 6, 3], [8, 2, 4], [7, 5, 0]]",A*,heuristic_euclidean,True,0.1426560878753662,2996
"[[1, 6, 3], [8, 2, 4], [7, 5, 0]]",Greedy,heuristic_manhattan,True,0.00446009635925293,183
"[[1, 6, 3], [8, 2, 4], [7, 5, 0]]",Greedy,heuristic_misplaced_tiles,True,0.012218713760375977,511
"[[1, 6, 3], [8, 2, 4], [7, 5, 0]]",Greedy,heuristic_euclidean,True,0.008562326431274414,263
"[[8, 7, 5], [2, 6, 4], [0, 3, 1]]",A*,heuristic_manhattan,True,0.04352617263793945,1024
"[[8, 7, 5], [2, 6, 4], [0, 3, 1]]",A*,heuristic_misplaced_tiles,True,1.7595751285552979,30924
"[[8, 7, 5], [2, 6, 4], [0, 3, 1]]",A*,heuristic_euclidean,True,0.27060604095458984,5497
"[[8, 7, 5], [2, 6, 4], [0, 3, 1]]",Greedy,heuristic_manhattan,True,0.0034160614013671875,128
"[[8, 7, 5], [2, 6, 4], [0, 3, 1]]",Greedy,heuristic_misplaced_tiles,True,0.008152961730957031,340
"[[8, 7, 5], [2, 6, 4], [0, 3, 1]]",Greedy,heuristic_euclidean,True,0.009694814682006836,294
"[[4, 5, 7], [3, 0, 1], [2, 6, 8]]",A*,heuristic_manhattan,True,0.04186701774597168,979
"[[4, 5, 7], [3, 0, 1], [2, 6, 8]]",A*,heuristic_misplaced_tiles,True,1.2873079776763916,24309
"[[4, 5, 7], [3, 0, 1], [2, 6, 8]]",A*,heuristic_euclidean,True,0.19648122787475586,4009
"[[4, 5, 7], [3, 0, 1], [2, 6, 8]]",Greedy,heuristic_manhattan,True,0.009478092193603516,371
"[[4, 5, 7], [3, 0, 1], [2, 6, 8]]",Greedy,heuristic_misplaced_tiles,True,0.01730036735534668,701
"[[4, 5, 7], [3, 0, 1], [2, 6, 8]]",Greedy,heuristic_euclidean,True,0.002676248550415039,83
"[[1, 3, 0], [4, 6, 2], [7, 8, 5]]",A*,heuristic_manhattan,True,0.005651950836181641,179
"[[1, 3, 0], [4, 6, 2], [7, 8, 5]]",A*,heuristic_misplaced_tiles,True,0.01098012924194336,389
"[[1, 3, 0], [4, 6, 2], [7, 8, 5]]",A*,heuristic_euclidean,True,0.008048772811889648,204
"[[1, 3, 0], [4, 6, 2], [7, 8, 5]]",Greedy,heuristic_manhattan,True,0.0008387565612792969,34
"[[1, 3, 0], [4, 6, 2], [7, 8, 5]]",Greedy,heuristic_misplaced_tiles,True,0.0009362697601318359,45
"[[1, 3, 0], [4, 6, 2], [7, 8, 5]]",Greedy,heuristic_euclidean,True,0.0010139942169189453,34
"[[7, 3, 2], [5, 8, 4], [6, 0, 1]]",A*,heuristic_manhattan,True,0.07729792594909668,1939
"[[7, 3, 2], [5, 8, 4], [6, 0, 1]]",A*,heuristic_misplaced_tiles,True,1.5158629417419434,27269
"[[7, 3, 2], [5, 8, 4], [6, 0, 1]]",A*,heuristic_euclidean,True,0.3284440040588379,6437
"[[7, 3, 2], [5, 8, 4], [6, 0, 1]]",Greedy,heuristic_manhattan,True,0.007947921752929688,319
"[[7, 3, 2], [5, 8, 4], [6, 0, 1]]",Greedy,heuristic_misplaced_tiles,True,0.020108938217163086,818
"[[7, 3, 2], [5, 8, 4], [6, 0, 1]]",Greedy,heuristic_euclidean,True,0.007754087448120117,246
"[[7, 4, 8], [5, 3, 6], [0, 2, 1]]",A*,heuristic_manhattan,True,0.018311023712158203,397
"[[7, 4, 8], [5, 3, 6], [0, 2, 1]]",A*,heuristic_misplaced_tiles,True,0.3740999698638916,9977
"[[7, 4, 8], [5, 3, 6], [0, 2, 1]]",A*,heuristic_euclidean,True,0.04886794090270996,1116
"[[7, 4, 8], [5, 3, 6], [0, 2, 1]]",Greedy,heuristic_manhattan,True,0.0035152435302734375,142
"[[7, 4, 8], [5, 3, 6], [0, 2, 1]]",Greedy,heuristic_misplaced_tiles,True,0.014029741287231445,363
"[[7, 4, 8], [5, 3, 6], [0, 2, 1]]",Greedy,heuristic_euclidean,True,0.007294893264770508,233
"[[1, 4, 5], [8, 3, 6], [0, 2, 7]]",A*,heuristic_manhattan,True,0.026098012924194336,734
"[[1, 4, 5], [8, 3, 6], [0, 2, 7]]",A*,heuristic_misplaced_tiles,True,0.13692998886108398,4063
"[[1, 4, 5], [8, 3, 6], [0, 2, 7]]",A*,heuristic_euclidean,True,0.04119706153869629,951
"[[1, 4, 5], [8, 3, 6], [0, 2, 7]]",Greedy,heuristic_manhattan,True,0.0015606880187988281,66
"[[1, 4, 5], [8, 3, 6], [0, 2, 7]]",Greedy,heuristic_misplaced_tiles,True,0.02118515968322754,840
"[[1, 4, 5], [8, 3, 6], [0, 2, 7]]",Greedy,heuristic_euclidean,True,0.00623011589050293,197
"[[3, 2, 5], [0, 8, 7], [1, 4, 6]]",A*,heuristic_manhattan,True,0.005572795867919922,178
"[[3, 2, 5], [0, 8, 7], [1, 4, 6]]",A*,heuristic_misplaced_tiles,True,0.04590415954589844,1335
"[[3, 2, 5], [0, 8, 7], [1, 4, 6]]",A*,heuristic_euclidean,True,0.009493112564086914,231
